HEADER[~&~	~&~UNIV_DT::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'200709120000000000'~&~	~&~'683D47188FA989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709130000000000'~&~	~&~'683D47188FAA89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709140000000000'~&~	~&~'683D47188FAB89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709150000000000'~&~	~&~'683D47188FAC89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709160000000000'~&~	~&~'683D47188FAD89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709170000000000'~&~	~&~'683D47188FAE89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709180000000000'~&~	~&~'683D47188FAF89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709190000000000'~&~	~&~'683D47188FB089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709200000000000'~&~	~&~'683D47188FB189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709210000000000'~&~	~&~'683D47188FB289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709220000000000'~&~	~&~'683D47188FB389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709230000000000'~&~	~&~'683D47188FB489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709240000000000'~&~	~&~'683D47188FB589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709250000000000'~&~	~&~'683D47188FB689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709260000000000'~&~	~&~'683D47188FB789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
