HEADER[~&~	~&~PUR_COMM_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PUR_COMM_DESC::VARCHAR~&~	~&~PUR_SALES_TAX_IND::VARCHAR~&~	~&~ITM_RSTRC_IND::VARCHAR~&~	~&~SNSTV_DTA_CD::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'813940'~&~	~&~'486D3478907AC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Political Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81399'~&~	~&~'486D34788BE8C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813990'~&~	~&~'486D3478907BC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'814'~&~	~&~'486D347887F5C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Private Households'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8141'~&~	~&~'486D3478892EC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Private Households'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81411'~&~	~&~'486D34788BE9C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Private Households'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'814110'~&~	~&~'486D3478907CC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Private Households'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'92'~&~	~&~'486D3478879AC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Public Administration'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'921'~&~	~&~'486D347887F6C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Executive, Legislative, and Other General Government Support'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'9211'~&~	~&~'486D3478892FC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Executive, Legislative, and Other General Government Support'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'92111'~&~	~&~'486D34788BEAC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Executive Offices'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'921110'~&~	~&~'486D3478907DC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Executive Offices'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'92112'~&~	~&~'486D34788BEBC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Legislative Bodies'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'921120'~&~	~&~'486D3478907EC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Legislative Bodies'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'92113'~&~	~&~'486D34788BECC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Public Finance Activities'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'921130'~&~	~&~'486D3478907FC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Public Finance Activities'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
