HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_OBJ_SUB_TYPE_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CPTLZTN_FOBJ_CD::VARCHAR~&~	~&~ACCUM_DEPR_FOBJ_CD::VARCHAR~&~	~&~DEPR_EXP_FOBJ_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'BY'~&~	~&~'5176F1952D1DCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8641'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'C1'~&~	~&~'5176F1952D12CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8627'~&~	~&~'8927'~&~	~&~'5127'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'C2'~&~	~&~'5176F1952D13CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8628'~&~	~&~'8928'~&~	~&~'5128'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'CF'~&~	~&~'5176F1952D0DCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8611'~&~	~&~'8910'~&~	~&~'5115'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'CL'~&~	~&~'5176F1952D1ECCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'9603'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'CM'~&~	~&~'5176F1952D0ECCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8610'~&~	~&~'8910'~&~	~&~'5115'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'CO'~&~	~&~'5176F1952D1FCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'CP'~&~	~&~'5176F1952D20CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'ES'~&~	~&~'5176F1952D17CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8630'~&~	~&~'8930'~&~	~&~'5156'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'IF'~&~	~&~'5176F1952D18CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8604'~&~	~&~'8904'~&~	~&~'5157'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'LA'~&~	~&~'5176F1952D21CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8603'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'LE'~&~	~&~'5176F1952D19CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8608'~&~	~&~'8908'~&~	~&~'5158'~&~	~&~'Y'~&~	~&~]RECORD
