HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_NBR::VARCHAR~&~	~&~LBR_RPT_POSOBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2014'~&~	~&~'M01'~&~	~&~'PA'~&~	~&~'b04dc4e9-4df7-4421-a5dc-cce864cf51f1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'M02'~&~	~&~'AC'~&~	~&~'4e67e16b-5efb-474a-92e2-3f5fc057dc71'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'M02'~&~	~&~'PA'~&~	~&~'cbb90f95-ac27-4647-a269-2efbcb22cff6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'a78c9ae0-02a0-4568-95b3-6ea9887f57d8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'9a62bf20-267a-4034-b420-a7bde04e4bca'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'d03077ad-3cf4-42a6-8929-c863b2954e74'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'dcfc4a16-eb8c-435a-971c-803c8bb2c124'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'c7b261f0-9a6f-41ce-89d1-98d92c1539ed'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'d74d1aac-8ec2-4bea-8d3f-01bb27b19c28'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'194d6d4d-3a96-4655-b6a0-fabf3c3f23c7'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'26d307b7-7b59-44cf-a485-99d1493a41cb'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'445f804d-fcfa-4365-9f35-163025186707'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'M01'~&~	~&~'AC'~&~	~&~'bd6648c3-78e2-4adf-9552-5bd9aaed5c56'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'M01'~&~	~&~'PA'~&~	~&~'ba31dbe5-061a-4544-b158-663153b76bcf'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'M02'~&~	~&~'AC'~&~	~&~'4f6bd40a-3c65-4a4e-a6a9-3921e903e754'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'M02'~&~	~&~'PA'~&~	~&~'b7ba00ee-5bbb-43ed-b11a-0c6bb0855c2e'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'0195bbee-727b-4bc2-92a4-9b404d9ca0c6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'c3b98c7b-9279-4383-b639-faa3dfef0852'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'aa53fb66-8144-4fd2-a7ba-874eb80ff283'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'17623594-8b9a-4bc2-914c-4448b1013634'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
