HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~ERNCD::VARCHAR~&~	~&~PAYGROUP::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'RGN'~&~	~&~'BW1'~&~	~&~'77FA87B5-D627-D7BB-CF79-99FCE4B4AEA2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'RGP'~&~	~&~'HRP'~&~	~&~'9F0BA97B-8175-FCDF-E7F0-31D70C045986'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'RGW'~&~	~&~'HRW'~&~	~&~'F3BC45D0-38AE-6D55-5FFD-3B17DD04B934'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'RMO'~&~	~&~'SMO'~&~	~&~'A05A077E-3AEB-A411-EFE9-2A4D11CA1475'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'10'~&~	~&~'REG'~&~	~&~'S10'~&~	~&~'c568e3e7-e932-4bb9-971f-4f7759df0e8b'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'10'~&~	~&~'RGA'~&~	~&~'A10'~&~	~&~'d6e40cc3-37e9-4351-9d3e-0a0831b0364b'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'10'~&~	~&~'RGS'~&~	~&~'AS0'~&~	~&~'d557f284-15a1-44ae-9d07-ec0c03546efc'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'12'~&~	~&~'REG'~&~	~&~'S12'~&~	~&~'7f0a771d-0be5-40c5-9a10-5331c006c0a7'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'12'~&~	~&~'RGA'~&~	~&~'A12'~&~	~&~'3074ef33-a733-4250-a673-fe6d50b3b1de'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'12'~&~	~&~'RGR'~&~	~&~'RES'~&~	~&~'c5d290a7-cfb3-4dcf-9f16-8062c5833dd1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'12'~&~	~&~'RGS'~&~	~&~'AS2'~&~	~&~'50d394da-1185-420a-86aa-833eee6e737d'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
